Term,Definition
Digital literacy,The ability to find use and create information confidently and safely using digital devices
Digital citizenship,Acting responsibly and respectfully in digital spaces understanding that online actions have real consequences
Digital footprint,The trail of information a person leaves behind through their online activity
Input,Information going into a computer such as typing or clicking
Processing,The computer acting on information according to instructions
Storage,Keeping information for later either temporarily or permanently
Output,A result the computer gives back such as on screen or printed
Bit,The smallest unit of digital data either a 0 or a 1
Byte,A group of 8 bits used as the basic unit for measuring data size
Binary,A number system using only 0s and 1s that computers use internally
Home row,The row of keys ASDF JKL where fingers rest while typing
Hardware,The physical parts of a computer system
Software,The instructions and programs that make hardware useful
